,lon,lat,k2,k3,k4,k5,k6,centroid
8503,-122.421861006,37.7880116319,[0],[1],[0],[3],[2],0.0
8504,-122.417970955,37.7594884557,[1],[0],[1],[1],[1],0.0
8505,-122.418415888,37.7626869632,[1],[0],[1],[1],[1],0.0
8506,-122.423340547,37.7962454397,[0],[1],[0],[3],[2],0.0
8507,-122.420691681,37.790577071,[0],[1],[0],[3],[2],0.0
8508,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8509,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8510,-122.4168252,37.7872771546,[0],[1],[0],[3],[2],0.0
8511,-122.418540939,37.7886879918,[0],[1],[0],[3],[2],0.0
8512,-122.416872884,37.7587640201,[1],[0],[1],[1],[1],0.0
8513,-122.408593311,37.7895598701,[0],[1],[0],[0],[0],0.0
8514,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8515,-122.419009629,37.7903094889,[0],[1],[0],[3],[2],0.0
8516,-122.417028392,37.7603656932,[1],[0],[1],[1],[1],0.0
8517,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8518,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8519,-122.418108926,37.7594801326,[1],[0],[1],[1],[1],0.0
8520,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8521,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8522,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8523,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8524,-122.420120319,37.7877570602,[0],[1],[0],[3],[2],0.0
8525,-122.420874632,37.7914943052,[0],[1],[0],[3],[2],0.0
8526,-122.417970955,37.7594884557,[1],[0],[1],[1],[1],0.0
8527,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8528,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8529,-122.413107623,37.765448018,[1],[0],[1],[1],[1],0.0
8530,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8531,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8532,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8533,-122.417903978,37.7851670876,[0],[1],[0],[3],[2],0.0
8534,-122.418486297,37.7634954373,[1],[0],[1],[1],[1],0.0
8535,-122.463079076,37.7254765726,[1],[2],[2],[4],[4],0.0
8536,-122.417641343,37.787173525,[0],[1],[0],[3],[2],0.0
8537,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8538,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8539,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8540,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8541,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8542,-122.420307356,37.7886989512,[0],[1],[0],[3],[2],0.0
8543,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8544,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8545,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8546,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8547,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8548,-122.413591696,37.7638222259,[1],[0],[1],[1],[1],0.0
8549,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8550,-122.418274172,37.7870372044,[0],[1],[0],[3],[2],0.0
8551,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8552,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
